"";"ProbeNr";"Datum der Entnahme";"Uhrzeit der Entnahme";"Probe Valide";"Kläranlagen-ID";"Name der Kläranlage";"Probenbegleitschein vollständig";"Genkopien im Durchschnitt (Gq/ml)";"Genkopien N1/ml";"Genkopien N2/ml";"Anteil Genkopien Durchschnitt zu PMMoV x100.000";"Probennahme (Anfangs )Zeit";"Probennahme (End )Zeit";"Probennahmeart";"Probenvolumen (ml)";"Gesamt-Volumen (Liter) der Mischprobe vor Abfüllung (geschätzt)";"Temperatur des Rohabwassers (Grad Celsius)";"Leitfähigkeit des Rohabwassers (uS/cm)";"pH-Wert des Rohabwassers";"NH4-Konzentration";"Volumenstrom (m3/d)";"Niederschläge am Vortag der Probenentnahme (mm)";"Niederschläge am Probenentnahmetag (mm)";"Lufttemperatur am Probenentnahmetag (Grad Celsius)";"Chemischer Sauerstoffbedarf CSB (mg/l)";"Total Organic Carbon TOC (mg/l)"
"22";24426;2022-10-03;" 00:00:00";" ja";19985;" Andernach";" ja";" 106";" 59";" 153";" 23.7";2022-10-03 08:00:00;2022-10-04 08:00:00;" MP";" 1000";" 9";" 16.6";" 1930";" 8";" 42";" 9289";" 1";" 0";" 11.1";" 1027";" nicht messbar"
"23";24427;2022-10-05;" 00:00:00";" ja";19985;" Andernach";" ja";" 127.5";" 139";" 116";" 59.6";2022-10-05 08:00:00;2022-10-06 08:00:00;" MP";" 1000";" 8";" 17.2";" 2030";" 8";" 23.3";" 7996";" 0";" 0";" 11.4";" 897";" nicht messbar"
"24";24428;2022-10-04;" 08:00:00";" ja";22449;" Worms";" ja";" 65";" 47";" 83";" 18";2022-10-03 08:00:00;2022-10-04 08:00:00;" MP";" 1000";" 12";" 17.3";" 1377";" 7.47";" 38.8";" 23287";" 19";" 0";" nicht messbar";" 667";" nicht messbar"
"25";24429;2022-10-05;" 00:00:00";" ja";22459;" Zweibrücken";" ja";" 193";" 151";" 235";" 60.7";2022-10-05 00:00:00;2022-10-05 00:00:00;" MP";" 1000";" 6";" 15.6";" 1141";" 7.99";" 40.9";" 9021";" 0";" 0";" nicht messbar";" 680";" nicht messbar"
"26";24430;2022-10-03;" 00:00:00";" ja";22459;" Zweibrücken";" ja";" 231.5";" 185";" 278";" 93.3";2022-10-03 00:00:00;2022-10-03 00:00:00;" MP";" 1000";" 6";" 14.9";" 599";" 7.87";" 16.3";" 18717";" 28";" 0";" nicht messbar";" 442";" nicht messbar"
"27";24441;2022-10-05;" 00:00:00";" ja";22430;" Kaiserslautern";" ja";" 205";" 84";" 326";" 128";2022-10-05 00:00:00;2022-10-05 00:00:00;" MP";" 1000";" 5";" 15.8";" 818";" 7.46";" NA";" 46963";" 0";" 0";" NA";" 287";" 70.7"
"28";24493;2022-10-11;" 08:00:00";" ja";22448;" Trier";" ja";" 656";" 416";" 896";" 192";2022-10-10 08:00:00;2022-10-11 08:00:00;" MP";" 1000";" 5";" nicht messbar";" 1279";" 7.6";" 66.7";" 16825";" 0";" 1";" 10.86";" 816";" 200"
"29";24494;2022-10-10;" 00:00:00";" ja";20027;" Bad Kreuznach";" ja";" 347.5";" 203";" 492";" 189";2022-10-10 00:00:00;2022-10-10 00:00:00;" MP";" 1000";" 4.5";" 17.5";" 0.53";" 7.39";" 27.8";" 26370";" 0";" 9";" nicht messbar";" 635";" 179"
"30";24495;2022-10-10;" 00:00:00";" ja";22425;" Germersheim";" ja";" 258.5";" 151";" 366";" 144";2022-10-10 00:00:00;2022-10-10 00:00:00;" MP";" 100";" 24";" 20.2";" 139.2";" 7.88";" 49.1";" nicht messbar";" 0";" 0";" 13.7";" 570";" nicht messbar"
"31";24496;2022-10-11;" 08:00:00";" ja";22438;" Landau";" ja";" 186";" 122";" 250";" 108";2022-10-10 08:00:00;2022-10-11 08:00:00;" MP";" 1000";" nicht messbar";" 17.8";" nicht messbar";" 7.8";" 44.9";" 11607";" nicht messbar";" nicht messbar";" 13";" 711";" nicht messbar"
"32";24497;2022-10-11;" 08:00:00";" ja";22439;" Mainz";" ja";" 886";" 932";" 840";" 430";2022-10-10 00:00:00;2022-10-10 00:00:00;" MP";" 1000";" 10";" 7.2";" 1827";" nicht messbar";" 63.7";" 48666";" nicht messbar";" nicht messbar";" nicht messbar";" 755";" 233"
"33";24498;2022-10-11;" 00:00:00";" ja";22387;" Pirmasens-Felsalbe";" ja";" 1406";" 992";" 1820";" 420";2022-10-10 00:00:00;2022-10-10 00:00:00;" MP";" 2000";" 5";" 15";" 1034";" 8.1";" nicht messbar";" nicht messbar";" 0";" 0";" 17";" nicht messbar";" nicht messbar"
"34";24499;2022-10-11;" 00:00:00";" ja";19985;" Andernach";" ja";" 391.5";" 195";" 588";" 198";2022-10-10 08:00:00;2022-10-11 08:00:00;" MP";" 1000";" 10";" 16.8";" 1756";" 7.9";" 39.5";" 10403";" 2";" 0";" 8.3";" 1120";" nicht messbar"
"35";24500;2022-10-10;" 00:00:00";" ja";23128;" Speyer";" ja";" 542";" 588";" 496";" 162";2022-10-10 00:00:00;2022-10-10 00:00:00;" MP";" 1000";" 2.5";" 25.6";" 1821";" 7.46";" 58";" 11290";" 0";" 0";" 16.5";" 577";" nicht messbar"
"36";24501;2022-10-10;" 08:00:00";" ja";22449;" Worms";" ja";" 182.5";" 101";" 264";" 179";2022-10-09 08:00:00;2022-10-10 08:00:00;" MP";" 1000";" 12";" 18.1";" 972";" 7.76";" 30";" 44250";" 0";" 4";" nicht messbar";" 509";" nicht messbar"
"37";24505;2022-10-10;" 00:00:00";" ja";22430;" Kaiserslautern";" ja";" 358";" 212";" 504";" 167";2022-10-10 00:00:00;2022-10-10 00:00:00;" MP";" 1000";" 5";" 15.2";" 726";" 7.26";" 27.5";" 46.132";" 0";" 1";" nicht messbar";" 657";" 169"
"38";24506;2022-10-05;" 00:00:00";" ja";22439;" Mainz";" ja";" 732";" 640";" 824";" 581";2022-10-05 00:00:00;2022-10-05 00:00:00;" MP";" 1000";" 20";" 6.5";" 1862";" 7.7";" 63.9";" 40115";" nicht messbar";" nicht messbar";" nicht messbar";" 916";" 261"
"39";24507;2022-10-06;" 08:00:00";" ja";22449;" Worms";" ja";" 7.5";" 4";" 11";" 2.53";2022-10-05 08:00:00;2022-10-06 08:00:00;" MP";" 1000";" 12";" 18.3";" 1821";" 7.6";" 56.8";" 1031";" 0";" 0";" nicht messbar";" 1031";" nicht messbar"
"40";24698;2022-10-13;" 00:00:00";" ja";19985;" Andernach";" ja";" 485";" 302";" 668";" 489";2022-10-12 08:00:00;2022-10-13 08:00:00;" MP";" 1000";" 8";" 16.1";" 1984";" 8.1";" 47";" 8758";" 0";" 0";" 9.1";" 906";" nicht messbar"
"41";24701;2022-10-13;" 07:00:00";" ja";22430;" Kaiserslautern";" ja";" 540";" 464";" 616";" 129";2022-10-12 00:00:00;2022-10-12 00:00:00;" MP";" 1000";" 5";" 15.1";" 721";" 7.23";" nicht messbar";" 45046";" 0";" 0";" nicht messbar";" 521";" 142.85"
"42";24709;2022-10-11;" 08:30:00";" ja";22447;" Montabaur, GKA";" ja";" 672";" 548";" 796";" 205";2022-10-10 08:00:00;2022-10-11 08:00:00;" MP";" 1000";" 7";" 6.1";" nicht messbar";" 7.5";" 35";" 7040";" 0";" 0";" nicht messbar";" 504";" nicht messbar"
"43";24710;2022-10-13;" 08:00:00";" ja";22448;" Trier";" ja";" 435.5";" 291";" 580";" 287";2022-10-12 08:00:00;2022-10-13 08:00:00;" MP";" 1000";" 5";" nicht messbar";" 1331";" 7.2";" 67.4";" 16433";" 0";" 0";" 6.95";" 1008";" 277"
"44";24711;2022-10-13;" 07:00:00";" ja";22447;" Montabaur, GKA";" ja";" 496";" 212";" 780";" 299";2022-10-12 00:00:00;2022-10-12 23:59:00;" MP";" 1000";" 7";" 15";" nicht messbar";" 7.7";" 32";" 6140";" 0";" 0";" nicht messbar";" 528";" 57.8"
"45";24712;2022-10-12;" 00:00:00";" ja";22431;" Koblenz";" ja";" 424";" 312";" 536";" 174";2022-10-12 00:00:00;2022-10-12 23:59:00;" MP";" 1000";" 5";" 16.6";" 1500";" 8.1";" 55.3";" 22940";" 0";" 0";" 9.7";" 720";" 213"
"46";24713;2022-10-13;" 08:00:00";" ja";22438;" Landau";" ja";" 342.5";" 173";" 512";" 221";2022-10-12 08:00:00;2022-10-13 08:00:00;" MP";" 1000";" 4";" 17.5";" nicht messbar";" 7.5";" 39.4";" 11238";" nicht messbar";" nicht messbar";" NA";" 957";" nicht messbar"
"47";24785;2022-10-13;" 00:00:00";" ja";20027;" Bad Kreuznach";" ja";" 818";" 856";" 780";" 178";2022-10-12 00:00:00;2022-10-12 00:00:00;" MP";" 1000";" 2.5";" 18.5";" 1.37";" 7.45";" 37.8";" 14370";" 0";" 0";" nicht messbar";" 715";" 178"
"48";24786;2022-10-13;" 00:00:00";" ja";22425;" Germersheim";" ja";" 500";" 548";" 452";" 155";2022-10-12 00:00:00;2022-10-12 00:00:00;" MP";" 100";" 24";" 21.8";" 129.3";" 7.89";" 52.5";" 4879";" 0";" 0";" 12.1";" 663";" nicht messbar"
"49";24787;2022-10-13;" 07:45:00";" ja";22439;" Mainz";" ja";" 914";" 648";" 1180";" 337";2022-10-12 00:00:00;2022-10-12 00:00:00;" MP";" 1000";" 6";" 7";" 1697";" 7.9";" nicht messbar";" 35968";" nicht messbar";" nicht messbar";" 15";" nicht messbar";" nicht messbar"
"50";24788;2022-10-13;" 00:00:00";" ja";22386;" Pirmasens-Blümelstal";" ja";" 1040";" 500";" 1580";" 327";2022-10-12 00:00:00;2022-10-12 00:00:00;" MP";" 1000";" 15";" 15.8";" 1200";" 7.6";" 50";" 4616";" 0";" 0";" 6";" 937";" 246"
"51";24789;2022-10-11;" 00:00:00";" ja";22386;" Pirmasens-Blümelstal";" ja";" 333";" 222";" 444";" 247";2022-10-10 00:00:00;2022-10-10 00:00:00;" MP";" 1000";" 17";" 16.1";" 1000";" 7.6";" 47.1";" 4960";" 0";" 0";" 5.5";" 841";" 218"
"52";24888;2022-10-13;" 00:00:00";" ja";22387;" Pirmasens-Felsalbe";" ja";" 1200";" 440";" 1960";" 577";2022-10-12 00:00:00;2022-10-12 00:00:00;" MP";" 2000";" 6";" 15";" 825";" 8";" nicht messbar";" 2280";" nicht messbar";" nicht messbar";" 11";" nicht messbar";" nicht messbar"
"53";24889;2022-10-12;" 00:00:00";" ja";23128;" Speyer";" ja";" 724";" 844";" 604";" 670";2022-10-12 00:00:00;2022-10-12 00:00:00;" MP";" 1000";" 2.5";" 21.5";" 2174";" 7.5";" 60";" 11812";" 0";" 0";" 14.8";" 540";" nicht messbar"
"54";24923;2022-10-12;" 08:00:00";" ja";22449;" Worms";" ja";" 480";" 472";" 488";" 87.6";2022-10-11 08:00:00;2022-10-12 08:00:00;" MP";" 1000";" 12";" 18";" 1805";" 7.7";" 56.1";" 19525";" 0";" 0";" nicht messbar";" 974";" nicht messbar"
"55";24924;2022-10-10;" 00:00:00";" ja";22459;" Zweibrücken";" ja";" 553";" 394";" 712";" 189";2022-10-10 00:00:00;2022-10-10 00:00:00;" MP";" 1000";" 6";" 15.37";" 921";" 7.99";" 36.7";" 7945";" 0";" 0";" nicht messbar";" 831";" nicht messbar"
"56";24925;2022-10-12;" 00:00:00";" ja";22459;" Zweibrücken";" ja";" 784.5";" 329";" 1240";" 256";2022-10-12 00:00:00;2022-10-12 00:00:00;" MP";" 1000";" 6";" 15.4";" 1111";" 7.84";" 43.5";" 7937";" 0";" 0";" nicht messbar";" 705";" nicht messbar"
"57";24967;2022-10-17;" 00:00:00";" ja";20027;" Bad Kreuznach";" ja";" 770";" 520";" 1020";" 187";2022-10-17 00:00:00;2022-10-17 00:00:00;" MP";" 1000";" 5";" 16.5";" 0.08";" 7.23";" 33.6";" 15140";" 2";" 0";" nicht messbar";" 532";" 137"
"58";25062;2022-10-18;" 07:50:00";" ja";22439;" Mainz";" ja";" 1350";" 1360";" 1340";" 331";2022-10-17 00:00:00;2022-10-17 00:00:00;" MP";" 1000";" 6";" 7";" 1697";" 7.9";" nicht messbar";" 35968";" nicht messbar";" nicht messbar";" 15";" nicht messbar";" nicht messbar"
"59";25063;2022-10-18;" 08:00:00";" ja";22449;" Worms";" ja";" 510";" 444";" 576";" 136";2022-10-17 08:00:00;2022-10-18 08:00:00;" MP";" 1000";" 12";" 18";" 1.64";" 7.75";" 52.6";" 24987";" 6";" 0";" nicht messbar";" 817";" nicht messbar"
"60";25064;2022-10-18;" 15:07:00";" ja";22448;" Trier";" ja";" 2005";" 1130";" 2880";" 528";2022-10-17 08:00:00;2022-10-18 08:00:00;" MP";" 1000";" 5";" nicht messbar";" 1121";" 7.5";" 49.9";" nicht messbar";" 3";" 1";" 16.56";" 898";" 218"
"61";25065;2022-10-17;" 00:00:00";" ja";22425;" Germersheim";" ja";" 1444";" 668";" 2220";" 377";2022-10-17 00:00:00;2022-10-17 00:00:00;" MP";" 100";" 24";" 20.7";" 64.9";" 7.8";" 55.4";" 5010";" 3";" 0";" 16.8";" 984";" nicht messbar"
"62";25066;2022-10-17;" 00:00:00";" ja";22431;" Koblenz";" ja";" 866";" 612";" 1120";" 239";2022-10-17 00:00:00;2022-10-17 00:00:00;" MP";" 1000";" 5";" 17.1";" 1400";" 7.9";" 54.1";" 22656";" 0";" 0";" 18.2";" 815";" 245"
"63";25067;2022-10-18;" 08:00:00";" ja";22438;" Landau";" ja";" 1641";" 552";" 2730";" 464";2022-10-17 08:00:00;2022-10-18 08:00:00;" MP";" 1000";" 3";" 18.2";" nicht messbar";" 7.38";" 41.9";" 10651";" nicht messbar";" nicht messbar";" 16.3";" 729";" 43.5"
"64";25068;2022-10-18;" 07:00:00";" ja";22447;" Montabaur, GKA";" ja";" 1135";" 620";" 1650";" 312";2022-10-17 00:00:00;2022-10-17 00:00:00;" MP";" 1000";" 7";" 7.1";" nicht messbar";" 7.64";" 32.7";" 6390";" 0";" 0";" nicht messbar";" 495";" 59.5"
"65";25069;2022-10-18;" 08:00:00";" ja";19985;" Andernach";" ja";" 733";" 416";" 1050";" 264";2022-10-17 08:00:00;2022-10-18 08:00:00;" MP";" 1000";" 13";" 16.7";" 1207";" 7.9";" 27";" 22084";" 0";" 12";" 17.8";" 1030";" nicht messbar"
"66";25070;2022-10-17;" 00:00:00";" ja";23128;" Speyer";" ja";" 965";" 820";" 1110";" 193";2022-10-17 00:00:00;2022-10-17 00:00:00;" MP";" 1000";" 4";" 23.2";" 1926";" 7.49";" 48";" 14876";" 0";" 0";" 17";" 508";" nicht messbar"
"67";25071;2022-10-17;" 00:00:00";" ja";22430;" Kaiserslautern";" ja";" 672";" 496";" 848";" 333";2022-10-17 00:00:00;2022-10-17 23:59:00;" MP";" 1000";" 5";" 15.6";" 709";" 7.18";" 25.2";" 55178";" 12";" 0";" nicht messbar";" 350";" 85.21"
"68";25072;2022-10-17;" 00:00:00";" ja";22386;" Pirmasens-Blümelstal";" ja";" 1625";" 1070";" 2180";" 674";2022-10-17 00:00:00;2022-10-17 00:00:00;" MP";" 1000";" 24";" 16";" 930";" 7.7";" 30";" 7510";" 1";" 0";" nicht messbar";" 489";" 135"
"69";25073;2022-10-17;" 00:00:00";" ja";22387;" Pirmasens-Felsalbe";" ja";" 2895";" 1550";" 4240";" 584";2022-10-17 00:00:00;2022-10-17 00:00:00;" MP";" 2000";" 7";" 14.8";" 925";" 8";" nicht messbar";" 3000";" nicht messbar";" nicht messbar";" 16";" nicht messbar";" nicht messbar"
"70";25074;2022-10-17;" 00:00:00";" ja";22459;" Zweibrücken";" ja";" 1335";" 1390";" 1280";" 391";2022-10-17 00:00:00;2022-10-17 00:00:00;" MP";" 1000";" 6";" 15.7";" 1203";" 7.84";" 39.9";" 9279";" 15";" 0";" nicht messbar";" 570";" 221"
"71";25150;2022-10-19;" 00:00:00";" ja";20027;" Bad Kreuznach";" ja";" 1671";" 912";" 2430";" 394";2022-10-19 00:00:00;2022-10-19 00:00:00;" MP";" 1000";" 3";" 19";" 1.22";" 8.05";" 31.4";" 19350";" 11";" 0";" nicht messbar";" 538";" 143"
"72";25152;2022-10-19;" 00:00:00";" ja";22425;" Germersheim";" ja";" 1505";" 1130";" 1880";" 333";2022-10-19 00:00:00;2022-10-19 00:00:00;" MP";" 100";" 24";" 20.4";" 127.8";" 7.8";" 58.8";" 4511";" 2";" 0";" 13.8";" 649";" nicht messbar"
"73";25153;2022-10-20;" 06:45:00";" ja";22430;" Kaiserslautern";" ja";" 906";" 492";" 1320";" 279";2022-10-19 00:00:00;2022-10-19 23:59:00;" MP";" 1000";" 5";" 14.6";" 765";" 7.38";" 27.2";" 53058";" 7";" 0";" nicht messbar";" 380";" 110.63"
"74";25154;2022-10-19;" 00:00:00";" ja";22431;" Koblenz";" ja";" 646";" 556";" 736";" 404";2022-10-19 00:00:00;2022-10-19 00:00:00;" MP";" 1000";" 5";" 16.8";" 1500";" 7.9";" 45.5";" 24832";" 16";" 0";" 13.5";" 650";" 202"
"75";25155;2022-10-20;" 07:30:00";" ja";22439;" Mainz";" ja";" 1188";" 696";" 1680";" 369";2022-10-19 00:00:00;2022-10-19 00:00:00;" MP";" 1000";" 6";" 6";" 145";" 7.9";" 48.6";" 4823";" nicht messbar";" nicht messbar";" 12.3";" 562";" 186"
"76";25156;2022-10-20;" 07:00:00";" ja";22447;" Montabaur, GKA";" ja";" 1405";" 1060";" 1750";" 647";2022-10-19 00:00:00;2022-10-19 23:59:00;" MP";" 1000";" 7";" 6.6";" 619";" 7.6";" 17.8";" 11390";" 16";" 0";" nicht messbar";" 356";" 37.8"
"77";25163;2022-10-19;" 00:00:00";" ja";22459;" Zweibrücken";" ja";" 1580";" 1200";" 1960";" 366";2022-10-19 00:00:00;2022-10-19 00:00:00;" MP";" 1000";" 8";" 15.51";" 1082";" 7.76";" 32.3";" 8186";" 0";" 0";" nicht messbar";" 618";" 249"
"78";25165;2022-10-20;" 08:00:00";" ja";22449;" Worms";" ja";" 899";" 588";" 1210";" 161";2022-10-19 08:00:00;2022-10-20 08:00:00;" MP";" 1000";" 12";" 10";" 1841";" 7.91";" 56.8";" 18569";" 0";" 0";" nicht messbar";" 884";" nicht messbar"
"79";25195;2022-10-19;" 00:00:00";" ja";22386;" Pirmasens-Blümelstal";" ja";" 2255";" 1310";" 3200";" 384";2022-10-19 00:00:00;2022-10-19 00:00:00;" MP";" 1000";" 24";" 15.9";" 1036";" 7.6";" 40.3";" 5680";" 0";" 0";" 16.7";" 556";" 147"
"80";25196;2022-10-20;" 00:00:00";" ja";19985;" Andernach";" ja";" 1930";" 1450";" 2410";" 380";2022-10-19 08:00:00;2022-10-20 08:00:00;" MP";" 1000";" 6.5";" 7.9";" 1942";" 8.2";" 41";" 8297";" 1";" 0";" 16.9";" 551";" nicht messbar"
"81";25204;2022-10-20;" 08:00:00";" ja";22448;" Trier";" ja";" 1376";" 892";" 1860";" 380";2022-10-19 08:00:00;2022-10-20 08:00:00;" MP";" 1000";" 5";" nicht messbar";" 1021";" 7.6";" 31.09";" 24589";" 24";" 0";" 13.64";" 690";" 165.7"
"82";25205;2022-10-20;" 08:00:00";" ja";22438;" Landau";" ja";" 1465";" 1140";" 1790";" 507";2022-10-19 08:00:00;2022-10-20 08:00:00;" MP";" 1000";" 5";" 18.1";" nicht messbar";" 7.9";" 44";" 29450";" 9";" 7";" nicht messbar";" 810";" nicht messbar"
"83";25206;2022-10-19;" 00:00:00";" ja";22387;" Pirmasens-Felsalbe";" ja";" 2715";" 2030";" 3400";" 653";2022-10-19 00:00:00;2022-10-19 00:00:00;" MP";" 2000";" 7";" 14.7";" 796";" 7.8";" nicht messbar";" 2470";" nicht messbar";" nicht messbar";" 10";" nicht messbar";" nicht messbar"
"84";25207;2022-10-19;" 00:00:00";" ja";23128;" Speyer";" ja";" 2500";" 2100";" 2900";" 383";2022-10-19 00:00:00;2022-10-19 00:00:00;" MP";" 1000";" 2";" 26.2";" 2047";" 7.51";" 56";" 11391";" 0";" 0";" 12.2";" 530";" nicht messbar"
"85";25350;2022-10-25;" 08:00:00";" ja";22439;" Mainz";" nein";" 445.5";" 267";" 624";" 143";2022-10-24 00:00:00;2022-10-24 23:45:00;" MP";" 2000";" 6";" 7";" 1160";" 7.8";" 35.9";" NA";" NA";" NA";" NA";" 468";" 162"
